protein1	protein2	combined_score
PPP2CB	PPP2R3C	0.891
PPP2CB	PPP2CA	0.986
PPP2CB	FGFR1OP	0.994
FGFR1OP2	PPP2CA	0.707
FGFR1OP2	FGFR1OP	0.863
FGFR1OP2	MYO18A	0.869
FGFR1OP2	FGFR1	0.886
PPP2R3C	CEP350	0.736
PPP2R3C	PPP2CA	0.798
PPP2R3C	FGFR1OP	0.859
FGFR1OP	MYO18A	0.847
FGFR1OP	CNTRL	0.866
FGFR1OP	FGFR1	0.867
FGFR1OP	RNASET2	0.885
FGFR1OP	CEP19	0.952
FGFR1OP	CEP350	0.977
FGFR1OP	PPP2CA	0.994
CEP350	CEP19	0.877
CNTRL	FGFR1	0.839
FGFR1	MYO18A	0.73
TP53	CDC25A	0.861
TP53	CDC25C	0.894
TP53	BRCA2	0.995
ATM	CDC25C	0.813
ATM	CDC25A	0.861
ATM	BRCA2	0.995
CDC25A	CDC7	0.737
CDC25A	ATR	0.86
CDC25A	BRCA1	0.929
CDC25A	CDC25C	0.961
CDC25A	CHEK2	0.998
CDC25C	BRCA1	0.735
CDC25C	ATR	0.798
CDC25C	CHEK2	0.998
ATR	BRCA2	0.831
ATR	CDC7	0.992
MDC1	BRCA2	0.857
BRCA2	TP53BP1	0.922
BRCA2	CHEK2	0.985
CHEK2	CDC7	0.988
CHRND	CHRNA3	0.743
CHRND	CHRNB2	0.756
CHRND	CHRNA7	0.765
CHRND	CHRNB4	0.769
CHRND	CHRNA2	0.777
CHRND	CHRNB3	0.778
CHRND	CHRNA4	0.781
CHRND	CHRNA9	0.844
CHRND	CHRNE	0.847
CHRND	CHRNB1	0.908
CHRNB4	CHRNB1	0.744
CHRNB4	CHRNE	0.752
CHRNB4	CHRNB3	0.843
CHRNB4	CHRNB2	0.91
CHRNB4	CHRNA2	0.918
CHRNB4	CHRNA9	0.92
CHRNB4	CHRNA4	0.92
CHRNB4	CHRNA7	0.924
CHRNB4	CHRNA3	0.998
CHRNB3	CHRNA9	0.765
CHRNB3	CHRNA3	0.774
CHRNB3	CHRNA7	0.777
CHRNB3	CHRNB1	0.784
CHRNB3	CHRNB2	0.785
CHRNB3	CHRNE	0.829
CHRNB3	CHRNA4	0.843
CHRNB3	CHRNA2	0.919
CHRNB1	CHRNB2	0.745
CHRNB1	CHRNA3	0.749
CHRNB1	CHRNA4	0.772
CHRNB1	CHRNA7	0.775
CHRNB1	CHRNA2	0.788
CHRNB1	CHRNA9	0.828
CHRNB1	CHRNE	0.847
CHRNA9	CHRNE	0.777
CHRNA9	CHRNA2	0.916
CHRNA9	CHRNA4	0.916
CHRNA9	CHRNB2	0.919
CHRNA9	CHRNA7	0.919
CHRNA9	CHRNA3	0.942
CHRNA3	CHRNE	0.744
CHRNA3	CHRNA2	0.915
CHRNA3	CHRNA4	0.915
CHRNA3	CHRNA7	0.918
CHRNA3	CHRNB2	0.962
CHRNB2	CHRNE	0.749
CHRNB2	CHRNA7	0.923
CHRNB2	CHRNA2	0.948
CHRNB2	CHRNA4	0.994
CHRNA4	CHRNE	0.777
CHRNA4	CHRNA7	0.925
CHRNA4	CHRNA2	0.939
CHRNA2	CHRNE	0.792
CHRNA2	CHRNA7	0.93
CHRNA7	CHRNE	0.777
PSMA4	CHRNB4	0.938
PSMA4	CHRNA3	0.939
PSMA4	CHRNA5	0.946
CHRNA1	CHRNA5	0.717
CHRNA1	CHRNA2	0.726
CHRNA1	CHRNB2	0.762
CHRNA1	CHRNB4	0.767
CHRNA1	CHRNA4	0.812
CHRNA1	CHRNA9	0.828
CHRNA1	CHRNA3	0.844
CHRNB4	JAK2	0.9
CHRNB4	CHRNA5	0.919
CHRNA5	CHRNA9	0.751
CHRNA5	CHRNA4	0.877
CHRNA5	CHRNB2	0.891
CHRNA5	CHRNA3	0.98
CHRNA3	JAK2	0.902
CHRNB2	JAK2	0.9
CHRNA4	JAK2	0.903
CHRNB4	CHRNA6	0.822
CHRNA6	CHRNB2	0.749
CHRNA6	CHRNA2	0.763
CHRNA6	CHRNA9	0.763
CHRNA6	CHRNA7	0.776
CHRNA6	CHRNA3	0.826
CHRNA6	CHRNA4	0.891
CHRNA6	JAK2	0.9
KCNQ2	CHRNA4	0.924
PSMA4	HYKK	0.889
CHRNA10	CHRNA1	0.728
CHRNA10	CHRNA5	0.746
CHRNA10	CHRNA9	0.934
CHRNB4	HYKK	0.702
CHRNA5	HYKK	0.758
CHRNA5	CYP2A6	0.822
CYP2A6	CHRNA3	0.777
CHRNA3	HYKK	0.784
RNASEH2A	CLPTM1L	0.821
TERT	CLPTM1L	0.926
CLPTM1L	ATF7IP	0.708
CLPTM1L	DMRT1	0.717
CLPTM1L	NR5A2	0.723
DMRT1	ATF7IP	0.776
RBX1	COPS7A	0.857
RBX1	COPS7B	0.94
RBX1	COPS3	0.957
RBX1	COPS6	0.969
RBX1	GPS1	0.982
RBX1	COPS8	0.982
RBX1	COPS5	0.983
RBX1	COPS2	0.99
RBX1	COPS4	0.993
RBX1	CUL2	0.999
COPS3	CUL2	0.965
COPS3	GPS1	0.999
COPS3	COPS6	0.999
COPS3	COPS7A	0.999
COPS3	COPS2	0.999
COPS3	COPS4	0.999
COPS3	COPS8	0.999
COPS3	COPS7B	0.999
COPS3	COPS5	0.999
COPS2	CUL2	0.989
COPS2	COPS4	0.999
COPS2	COPS8	0.999
COPS2	COPS7B	0.999
COPS2	COPS5	0.999
COPS2	GPS1	0.999
COPS2	COPS6	0.999
COPS2	COPS7A	0.999
COPS6	CUL2	0.97
COPS6	GPS1	0.999
COPS6	COPS7A	0.999
COPS6	COPS8	0.999
COPS6	COPS4	0.999
COPS6	COPS5	0.999
COPS6	COPS7B	0.999
COPS8	CUL2	0.95
COPS8	COPS7A	0.999
COPS8	GPS1	0.999
COPS8	COPS5	0.999
COPS8	COPS7B	0.999
COPS8	COPS4	0.999
COPS5	CUL2	0.987
COPS5	COPS7A	0.999
COPS5	GPS1	0.999
COPS5	COPS7B	0.999
COPS5	COPS4	0.999
GPS1	CUL2	0.919
GPS1	COPS4	0.999
GPS1	COPS7B	0.999
GPS1	COPS7A	0.999
COPS7B	CUL2	0.882
COPS7B	COPS7A	0.987
COPS7B	COPS4	0.999
CUL2	COPS4	0.946
COPS4	COPS7A	0.999
COX6A1	COX7B	0.996
COX6A1	COX8A	0.998
COX6A1	NDUFA4	0.998
COX6A1	COX5B	0.999
COX6A1	COX6C	0.999
COX6A1	MT-CO2	0.999
COX6A1	COX4I1	0.999
COX6A1	COX7C	0.999
COX6A1	COX6B1	0.999
COX6A1	COX5A	0.999
COX5B	NDUFA4	0.995
COX5B	COX7C	0.999
COX5B	COX8A	0.999
COX5B	COX6B1	0.999
COX5B	COX4I1	0.999
COX5B	MT-CO2	0.999
COX5B	COX6C	0.999
COX5B	COX7B	0.999
COX5B	COX5A	0.999
COX5A	COX7B	0.995
COX5A	COX8A	0.996
COX5A	NDUFA4	0.997
COX5A	COX6C	0.999
COX5A	MT-CO2	0.999
COX5A	COX4I1	0.999
COX5A	COX7C	0.999
COX5A	COX6B1	0.999
COX8A	MT-CO2	0.982
COX8A	NDUFA4	0.989
COX8A	COX4I1	0.996
COX8A	COX7B	0.997
COX8A	COX7C	0.997
COX8A	COX6C	0.998
COX8A	COX6B1	0.998
NDUFA4	COX4I1	0.99
NDUFA4	MT-CO2	0.996
NDUFA4	COX7B	0.997
NDUFA4	COX6C	0.999
NDUFA4	COX6B1	0.999
NDUFA4	COX7C	0.999
MT-CO2	COX7B	0.996
MT-CO2	COX7C	0.999
MT-CO2	COX6B1	0.999
MT-CO2	COX6C	0.999
MT-CO2	COX4I1	0.999
COX7C	COX6B1	0.999
COX7C	COX4I1	0.999
COX7C	COX6C	0.999
COX7C	COX7B	0.999
COX6C	COX4I1	0.999
COX6C	COX6B1	0.999
COX6C	COX7B	0.999
COX4I1	COX7B	0.997
COX4I1	COX6B1	0.999
COX6B1	COX7B	0.996
UGT1A6	COMT	0.86
UGT1A6	CYP1A1	0.986
UGT1A6	UGT1A10	0.994
UGT1A6	CYP3A4	0.994
UGT1A6	UGT1A7	0.994
UGT1A6	UGT1A4	0.995
UGT1A6	UGT1A8	0.997
UGT1A6	UGT1A1	0.998
UGT1A1	COMT	0.85
UGT1A1	CYP1A1	0.985
UGT1A1	UGT1A7	0.994
UGT1A1	CYP3A4	0.994
UGT1A1	UGT1A4	0.994
UGT1A1	UGT1A10	0.995
UGT1A1	UGT1A8	0.996
GSTM1	CYP3A4	0.958
GSTM1	EPHX1	0.985
GSTM1	CYP1A1	0.991
UGT1A10	COMT	0.859
UGT1A10	CYP1A1	0.985
UGT1A10	CYP3A4	0.992
UGT1A10	UGT1A7	0.994
UGT1A10	UGT1A4	0.994
UGT1A10	UGT1A8	0.995
COMT	UGT1A7	0.858
COMT	UGT1A4	0.859
COMT	UGT1A8	0.859
COMT	CYP1A1	0.985
UGT1A4	CYP1A1	0.985
UGT1A4	CYP3A4	0.992
UGT1A4	UGT1A8	0.994
UGT1A4	UGT1A7	0.994
UGT1A7	CYP1A1	0.985
UGT1A7	CYP3A4	0.992
UGT1A7	UGT1A8	0.994
UGT1A8	CYP1A1	0.985
UGT1A8	CYP3A4	0.992
CYP1A1	EPHX1	0.985
CYP1A1	CYP3A4	0.987
EPHX1	CYP3A4	0.956
NAT2	CYP2A6	0.952
NAT2	CYP2E1	0.966
NAT2	CYP1A2	0.973
CYP2A6	CYP2E1	0.928
CYP2A6	EPHX1	0.946
CYP2A6	CYP2B6	0.951
CYP2A6	UGT1A8	0.963
CYP2A6	CYP1A2	0.969
CYP2A6	CYP4A11	0.97
CYP2A6	CYP3A4	0.975
CYP7A1	CYP2B6	0.72
CYP7A1	CYP3A4	0.947
CYP7A1	CYP2E1	0.948
CYP7A1	CYP1A2	0.973
CYP4A11	UGT1A8	0.768
CYP4A11	CYP3A4	0.958
CYP4A11	CYP2E1	0.964
CYP4A11	CYP2B6	0.966
CYP4A11	CYP1A2	0.972
CYP2B6	CYP2E1	0.921
CYP2B6	UGT1A8	0.928
CYP2B6	EPHX1	0.952
CYP2B6	CYP3A4	0.96
CYP2B6	CYP1A2	0.963
CYP1A2	EPHX1	0.961
CYP1A2	UGT1A8	0.964
CYP1A2	CYP3A4	0.968
CYP1A2	CYP2E1	0.982
CYP1A2	GAPDH	0.989
UGT1A8	CYP2E1	0.968
CYP2E1	EPHX1	0.971
CYP2E1	CYP3A4	0.991
UGT2B10	CYP4A11	0.73
UGT2B10	CYP1A2	0.89
UGT2B10	CYP2A6	0.968
UGT2B10	CYP3A4	0.974
CYP2A6	UGT1A10	0.965
CYP2A6	UGT1A7	0.965
CYP2A6	UGT1A6	0.969
CYP2A6	UGT1A4	0.972
CYP2A6	UGT2B7	0.973
CYP2A6	CYP2A7	0.999
UGT1A6	CYP4A11	0.766
UGT1A6	CYP1A2	0.958
UGT2B7	CYP4A11	0.769
UGT2B7	CYP1A2	0.916
UGT2B7	CYP3A4	0.998
CYP4A11	UGT1A7	0.758
CYP4A11	UGT1A10	0.758
CYP4A11	UGT1A4	0.783
CYP1A2	UGT1A7	0.955
CYP1A2	UGT1A4	0.958
CYP1A2	UGT1A10	0.958
SLC10A1	CYP8B1	0.825
SLC10A1	NR0B2	0.866
SLC10A1	NR1H4	0.878
SLC10A1	ABCB11	0.918
AKR1D1	AKR1C4	0.908
AKR1D1	CYP8B1	0.961
AKR1D1	HSD3B7	0.995
NR0B2	KLB	0.782
NR0B2	CYP27A1	0.823
NR0B2	ABCB11	0.948
NR0B2	CYP8B1	0.958
NR0B2	NR1H4	0.986
NR0B2	NR5A2	0.999
KLB	NR1H4	0.74
KLB	CYP8B1	0.851
CYP27A1	ABCB11	0.73
CYP27A1	NR5A2	0.745
CYP27A1	HSD3B7	0.762
CYP27A1	NR1H4	0.837
CYP27A1	AKR1C4	0.938
CYP27A1	CYP8B1	0.951
HSD3B7	CYP8B1	0.979
CYP8B1	ABCB11	0.826
CYP8B1	NR1H4	0.861
CYP8B1	NR5A2	0.89
CYP8B1	AKR1C4	0.939
NR5A2	NR1H4	0.705
NR1H4	ABCB11	0.964
TRAF2	DAB2IP	0.969
TRAF2	TNFRSF1B	0.994
TRAF2	RIPK1	0.999
TRAF2	MAP3K5	0.999
DAB2IP	RIPK1	0.731
DAB2IP	EZH2	0.749
DAB2IP	CGN	0.767
DAB2IP	ANKS1A	0.771
DAB2IP	AKT1	0.788
DAB2IP	RASAL2	0.829
DAB2IP	TNFRSF1B	0.901
DAB2IP	DAB2	0.992
DAB2IP	MAP3K5	0.995
EZH2	AKT1	0.867
MAP3K5	AKT1	0.985
COL1A1	DDR1	0.719
COL1A1	COL5A1	0.994
COL1A1	COL3A1	0.999
CDH1	DDR1	0.732
TM4SF1	DDR1	0.867
COL3A1	DDR1	0.798
COL3A1	COL5A1	0.983
COL5A1	DDR1	0.706
TNS1	TLN1	0.701
TNS1	DLC1	0.746
RASA1	RHOA	0.813
RASA1	CDC42	0.933
RASA1	DLC1	0.961
DLC1	RHOC	0.703
DLC1	CDC42	0.754
DLC1	CAV1	0.785
DLC1	TLN2	0.821
DLC1	RHOA	0.903
DLC1	PLCD1	0.912
DLC1	TLN1	0.932
DLC1	TNS2	0.992
RHOC	CAV1	0.774
RHOC	CDC42	0.886
RHOC	RHOA	0.951
TLN1	RHOA	0.788
TLN1	CDC42	0.789
TLN1	TLN2	0.968
CAV1	CDC42	0.739
CAV1	RHOA	0.898
RHOA	TLN2	0.774
RHOA	CDC42	0.955
NME8	CCDC40	0.724
NME8	CCDC39	0.743
NME8	DNAAF1	0.877
NME8	DNAAF2	0.9
NME8	RSPH9	0.915
NME8	RSPH4A	0.917
NME8	CCDC114	0.94
NME8	DNAH11	0.942
NME8	DNAI2	0.981
NME8	DNAI1	0.982
RSPH4A	CCDC40	0.857
RSPH4A	CCDC114	0.863
RSPH4A	CCDC39	0.876
RSPH4A	DNAH11	0.93
RSPH4A	DNAAF2	0.933
RSPH4A	DNAAF1	0.943
RSPH4A	DNAI2	0.96
RSPH4A	DNAI1	0.972
RSPH4A	RSPH9	0.999
DNAAF2	CCDC40	0.713
DNAAF2	CCDC39	0.715
DNAAF2	DNAH11	0.898
DNAAF2	RSPH9	0.926
DNAAF2	DNAAF1	0.939
DNAAF2	DNAI1	0.958
DNAAF2	DNAI2	0.97
CCDC114	DNAAF1	0.738
CCDC114	RSPH9	0.767
CCDC114	CCDC39	0.782
CCDC114	DNAH11	0.813
CCDC114	CCDC40	0.911
CCDC114	DNAI1	0.938
CCDC114	DNAI2	0.963
RSPH9	CCDC40	0.806
RSPH9	CCDC39	0.834
RSPH9	DNAH11	0.919
RSPH9	DNAAF1	0.931
RSPH9	DNAI1	0.954
RSPH9	DNAI2	0.956
DNAAF1	CCDC39	0.805
DNAAF1	CCDC40	0.822
DNAAF1	DNAH11	0.906
DNAAF1	DNAI1	0.946
DNAAF1	DNAI2	0.983
CCDC40	DNAH11	0.809
CCDC40	DNAI1	0.817
CCDC40	DNAI2	0.821
CCDC40	CCDC39	0.995
DNAI2	CCDC39	0.836
DNAI2	DNAI1	0.92
DNAI2	DNAH11	0.979
CCDC39	DNAI1	0.811
CCDC39	DNAH11	0.815
DNAH11	DNAI1	0.986
HSPA4	HSPA14	0.807
HSPA4	HSPA1A	0.866
HSPA4	HSPA1L	0.87
HSPA4	DNAJB5	0.888
HSPA4	HSPA5	0.915
HSPA4	HSPA6	0.925
HSPA4	HSPH1	0.935
HSPA4	HSPA1B	0.939
HSPA4	DNAJB4	0.982
HSPA4	HSPA8	0.999
HSPA6	HSPH1	0.727
HSPA6	DNAJB5	0.815
HSPA6	HSPA1L	0.817
HSPA6	HSPA1A	0.824
HSPA6	HSPA8	0.831
HSPA6	HSPA5	0.831
HSPA6	DNAJB4	0.947
HSPA6	HSPA1B	0.959
HSPA5	DNAJB5	0.751
HSPA5	HSPA1A	0.809
HSPA5	HSPA1L	0.847
HSPA5	HSPH1	0.854
HSPA5	HSPA1B	0.882
HSPA5	DNAJB4	0.916
HSPA5	HSPA8	0.983
DNAJB4	DNAJB5	0.876
DNAJB4	HSPA14	0.897
DNAJB4	HSPA1L	0.938
DNAJB4	HSPA1A	0.941
DNAJB4	HSPA8	0.967
DNAJB4	HSPH1	0.967
DNAJB4	HSPA1B	0.976
HSPA1B	HSPA1L	0.879
HSPA1B	DNAJB5	0.897
HSPA1B	HSPA8	0.947
HSPA1B	HSPH1	0.953
HSPA1B	HSPA1A	0.994
HSPA1A	HSPA1L	0.705
HSPA1A	DNAJB5	0.744
HSPA1A	HSPH1	0.865
HSPA1A	HSPA8	0.939
HSPA1L	HSPA8	0.753
HSPA1L	DNAJB5	0.814
HSPA1L	HSPH1	0.827
DNAJB5	HSPH1	0.898
DNAJB5	HSPA8	0.943
HSPA8	HSPH1	0.998
PKP2	DSC1	0.772
PKP2	DSG1	0.959
PKP2	JUP	0.991
PKP2	DSG2	0.999
PKP2	DSP	0.999
PKP2	DSC2	0.999
DSG1	DSC2	0.783
DSG1	EVPL	0.915
DSG1	PPL	0.921
DSG1	JUP	0.981
DSG1	PKP1	0.994
DSG1	DSC1	0.998
DSG1	DSP	0.998
DSC1	DSG2	0.742
DSC1	EVPL	0.786
DSC1	PPL	0.819
DSC1	PKP1	0.905
DSC1	JUP	0.913
DSC1	DSP	0.959
DSG2	PPL	0.739
DSG2	PKP1	0.895
DSG2	JUP	0.997
DSG2	DSP	0.998
DSG2	DSC2	0.999
PKP1	DSC2	0.853
PKP1	PPL	0.866
PKP1	EVPL	0.89
PKP1	JUP	0.946
PKP1	DSP	0.995
DSC2	PPL	0.7
DSC2	JUP	0.981
DSC2	DSP	0.998
PPL	JUP	0.779
PPL	DSP	0.953
PPL	EVPL	0.999
DSP	KRT18	0.957
DSP	EVPL	0.969
DSP	JUP	0.999
JUP	EVPL	0.803
SNTA1	SNTB1	0.744
SNTA1	SNTB2	0.905
SNTA1	DTNB	0.915
SNTA1	SNTG1	0.938
SNTA1	UTRN	0.961
SNTA1	SNTG2	0.965
SNTA1	DAG1	0.985
SNTA1	DMD	0.998
PPP1R21	DTNB	0.841
SNTG2	SNTG1	0.762
SNTG2	DAG1	0.837
SNTG2	UTRN	0.9
SNTG2	SNTB2	0.927
SNTG2	SNTB1	0.949
SNTG2	DTNB	0.98
SNTG2	DMD	0.99
SNTB2	SNTG1	0.844
SNTB2	DAG1	0.901
SNTB2	SNTB1	0.923
SNTB2	DTNB	0.937
SNTB2	DMD	0.985
SNTB2	UTRN	0.99
DTNBP1	DTNB	0.919
DMD	DTNB	0.956
DMD	UTRN	0.992
DMD	SNTG1	0.992
DMD	SNTB1	0.996
DMD	DAG1	0.999
UTRN	SNTG1	0.798
UTRN	DTNB	0.86
UTRN	SNTB1	0.979
UTRN	DAG1	0.999
SNTB1	SNTG1	0.874
SNTB1	DAG1	0.915
SNTB1	DTNB	0.922
DTNB	DAG1	0.937
DTNB	SNTG1	0.951
DAG1	SNTG1	0.839
TSR3	DTWD1	0.709
TSR3	DTWD2	0.732
DTWD1	DTWD2	0.759
LRP6	GSK3B	0.994
LRP6	DVL1	0.998
LRP6	AXIN1	0.999
LRP6	LRP5	0.999
AXIN1	FRAT1	0.992
AXIN1	DVL1	0.999
AXIN1	LRP5	0.999
INVS	DVL1	0.999
LRP5	GSK3B	0.96
LRP5	DVL1	0.999
NKD2	DVL1	0.996
GSK3B	FRAT1	0.999
GSK3B	DVL1	0.999
VANGL1	DAAM1	0.791
VANGL1	VANGL2	0.968
VANGL1	DVL1	0.997
VANGL2	DVL1	0.998
FRAT1	DVL1	0.996
DVL1	DAAM1	0.999
EFNB1	EFNA3	0.747
EFNB1	EFNA4	0.781
EFNB1	EFNB3	0.922
EFNB1	EFNB2	0.949
EFNB1	EPHA4	0.998
EFNA2	NGEF	0.768
EFNA2	EFNB2	0.769
EFNA2	EFNB3	0.789
EFNA2	RASA1	0.917
EFNA2	EPHA4	0.999
EFNB3	EFNA1	0.776
EFNB3	EFNA5	0.789
EFNB3	EFNA3	0.824
EFNB3	EFNA4	0.838
EFNB3	EFNB2	0.928
EFNB3	EPHA4	0.999
NGEF	EFNA5	0.727
NGEF	EFNA3	0.761
NGEF	EFNA4	0.776
NGEF	EFNA1	0.798
NGEF	EPHA4	0.984
RASA1	EFNA4	0.917
RASA1	EFNA3	0.929
RASA1	EFNA1	0.95
RASA1	EPHA4	0.95
RASA1	EFNA5	0.962
EPHA4	EFNA1	0.999
EPHA4	EFNA5	0.999
EPHA4	EFNA4	0.999
EPHA4	EFNA3	0.999
EPHA4	EFNB2	0.999
EFNA5	EFNB2	0.706
EFNA1	EFNB2	0.775
EFNA4	EFNB2	0.742
NUDT12	EPHX2	0.865
GMPR	EPHX2	0.859
GMPR	GMPR2	0.9
GMPR	IMPDH2	0.93
CYP2C9	CYP2B6	0.921
CYP2C9	CYP2J2	0.925
CYP2C9	CYP2C8	0.928
CYP2C9	EPHX2	0.967
IMPDH2	PNP	0.753
IMPDH2	EPHX2	0.884
CYP2B6	CYP2C8	0.917
CYP2B6	CYP2J2	0.924
CYP2B6	EPHX2	0.944
PNP	EPHX2	0.927
CYP2J2	CYP2C8	0.926
CYP2J2	EPHX2	0.981
CYP2C8	EPHX2	0.973
EPHX2	GMPR2	0.86
EPHX2	MTAP	0.877
PPFIA1	RIMS1	0.789
PPFIA1	PHLDB2	0.905
PPFIA1	UNC13B	0.928
PPFIA1	ERC1	0.987
RAB6A	ERC1	0.974
PPFIA3	RIMS1	0.841
PPFIA3	UNC13B	0.96
PPFIA3	ERC1	0.966
ERC1	TRIM40	0.9
ERC1	RIMS1	0.957
ERC1	PHLDB2	0.985
ERC1	UNC13B	0.993
ERC1	IKBKB	0.994
ERC1	CHUK	0.996
ERC1	IKBKG	0.999
CHUK	IKBKB	0.999
CHUK	IKBKG	0.999
TRIM40	IKBKG	0.946
RIMS1	UNC13B	0.998
IKBKB	IKBKG	0.999
NCOR1	NCOA2	0.9
NCOR1	NRIP1	0.907
NCOR1	HSP90AA1	0.909
NCOR1	NCOA3	0.928
NCOR1	NCOA1	0.936
NCOR1	ESR1	0.999
FOS	SP1	0.944
FOS	NCOA1	0.949
FOS	NCOA3	0.97
FOS	SRC	0.986
FOS	JUN	0.999
FOS	ESR1	0.999
NRIP1	NCOA2	0.754
NRIP1	NCOA1	0.759
NRIP1	NCOA3	0.766
NRIP1	JUN	0.793
NRIP1	ESR1	0.999
SP1	NCOA1	0.848
SP1	NCOA3	0.931
SP1	SRC	0.947
SP1	JUN	0.996
SP1	ESR1	0.999
HSP90AA1	JUN	0.798
HSP90AA1	ESR1	0.999
HSP90AA1	SRC	0.999
JUN	NCOA3	0.938
JUN	NCOA1	0.965
JUN	SRC	0.974
JUN	ESR1	0.999
NCOA3	SRC	0.975
NCOA3	NCOA1	0.994
NCOA3	NCOA2	0.997
NCOA3	ESR1	0.999
SRC	ESR1	0.999
NCOA1	NCOA2	0.997
NCOA1	ESR1	0.999
NCOA2	ESR1	0.999
TECR	ELOVL2	0.918
TECR	FADS1	0.92
TECR	SCD	0.925
TECR	HACD3	0.984
TECR	HACD4	0.984
TECR	HACD1	0.984
TECR	HSD17B12	0.995
TECR	HACD2	0.996
HACD3	HACD4	0.907
HACD3	FADS1	0.908
HACD3	HACD1	0.918
HACD3	SCD	0.922
HACD3	ELOVL2	0.923
HACD3	HACD2	0.923
HACD3	HSD17B12	0.981
SC5D	FADS1	0.976
HSD17B12	FADS1	0.931
HSD17B12	ELOVL2	0.945
HSD17B12	SCD	0.967
HSD17B12	HACD4	0.979
HSD17B12	HACD1	0.981
HSD17B12	HACD2	0.983
FADS1	ELOVL5	0.836
FADS1	HACD4	0.905
FADS1	HACD2	0.914
FADS1	HACD1	0.918
FADS1	SCD	0.959
FADS1	ELOVL2	0.977
ELOVL2	HACD4	0.922
ELOVL2	HACD1	0.934
ELOVL2	HACD2	0.934
HACD1	HACD2	0.903
HACD1	SCD	0.917
HACD1	HACD4	0.919
SCD	ELOVL5	0.781
SCD	HACD4	0.914
SCD	HACD2	0.925
HACD2	HACD4	0.924
FADS2	ELOVL6	0.703
FADS2	PLA2G2A	0.711
FADS2	FASN	0.712
FADS2	PLA2G6	0.713
FADS2	PLA2G10	0.715
FADS2	PLA2G4A	0.729
FADS2	ELOVL2	0.777
FADS2	ELOVL5	0.84
FADS2	PLAAT3	0.91
FADS2	SCD	0.971
FASN	ELOVL6	0.918
FASN	SCD	0.96
PLAAT3	PLA2G10	0.815
PLAAT3	PLA2G6	0.816
PLAAT3	PLA2G4A	0.828
PLAAT3	PLA2G2A	0.847
PLA2G6	PLA2G2A	0.83
PLA2G6	PLA2G4A	0.839
PLA2G4A	PLA2G10	0.858
PLA2G4A	PLA2G2A	0.918
SCD	ELOVL6	0.984
PLA2G2A	PLA2G10	0.725
FAM227B	LRRIQ3	0.734
DCN	EGF	0.917
DCN	KDR	0.931
DCN	FGF7	0.954
DCN	HSPG2	0.986
KDR	EGF	0.928
KDR	FGF7	0.945
KDR	HSPG2	0.975
EGF	FGFR4	0.78
EGF	HSPG2	0.877
EGF	FGFR3	0.902
EGF	FGFR1	0.926
EGF	FGFR2	0.936
EGF	FGF7	0.992
FGF7	FGFR3	0.976
FGF7	FGFBP1	0.99
FGF7	KL	0.99
FGF7	HSPG2	0.99
FGF7	FGFR4	0.995
FGF7	FGFR2	0.999
FGF7	FGFR1	0.999
FGFR4	FGFR3	0.79
FGFR4	FGFR1	0.967
FGFR4	KL	0.992
FGFR3	FGFR1	0.854
FGFR3	KL	0.966
FGFR3	FGFR2	0.987
HSPG2	FGFBP1	0.884
KL	FGFR2	0.806
KL	FGFR1	0.999
FGFR1	FGFR2	0.853
FGF4	FGFR2	0.999
FGF22	FGF3	0.712
FGF22	FGFR2	0.999
FGF2	FGF18	0.704
FGF2	FGF7	0.812
FGF2	FGF17	0.953
FGF2	FGFR2	0.999
FGF10	FGFR2	0.999
FGF18	FGFR2	0.999
FGF8	FGF3	0.727
FGF8	FGFR2	0.999
FGF3	FGF17	0.716
FGF3	FGFR2	0.999
FGF17	FGFR2	0.999
FGF9	FGFR2	0.999
HAND1	FOXP4	0.939
HAND2	FOXP4	0.764
FOXP4	FOXP1-2	0.794
FOXP4	FOXP3	0.812
FOXP4	FOXP1	0.867
FOXP4	FOXP2	0.952
FOXP3	FOXP1-2	0.71
FOXP3	FOXP1	0.778
FOXP3	FOXP2	0.843
FOXP2	FOXP1	0.897
FOXP2	FOXP1-2	0.905
GABBR2	KCNJ11	0.91
GABBR2	KCNJ5	0.911
GABBR2	GNB1	0.927
GABBR2	GPR156	0.933
GABBR2	GNG2	0.942
GABBR2	KCNJ9	0.946
GABBR2	KCNJ3	0.959
GABBR2	KCNJ6	0.962
GABBR2	GNAI1	0.992
GABBR2	GABBR1	0.999
KCNJ3	GNG2	0.896
KCNJ3	GNAI1	0.902
KCNJ3	GNB1	0.916
KCNJ3	GABBR1	0.953
KCNJ3	KCNJ9	0.99
KCNJ3	KCNJ5	0.997
KCNJ3	KCNJ6	0.998
GNG2	KCNJ9	0.782
GNG2	KCNJ5	0.881
GNG2	KCNJ6	0.898
GNG2	GABBR1	0.95
GNG2	GNAI1	0.998
GNG2	GNB1	0.999
KCNJ11	GABBR1	0.912
KCNJ9	GNB1	0.779
KCNJ9	KCNJ5	0.917
KCNJ9	GNAI1	0.918
KCNJ9	GABBR1	0.94
KCNJ9	KCNJ6	0.994
GABBR1	KCNJ5	0.91
GABBR1	GPR156	0.934
GABBR1	GNB1	0.952
GABBR1	KCNJ6	0.96
GABBR1	GNAI1	0.98
GNB1	KCNJ5	0.876
GNB1	KCNJ6	0.882
GNB1	GNAI1	0.999
KCNJ5	GNAI1	0.904
KCNJ5	KCNJ6	0.924
